SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"13.1.3.4. CEREALES GRANO-CEBADA: Análisis provincial de superficie y producción según tipos, 2016",,,,
,,,,
Provincias,Cebada de 2 carreras,,Cebada de 6 carreras,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,104,231,–,–
Lugo,177,312,–,–
Ourense,184,324,–,–
Pontevedra,7,14,–,–
 GALICIA,472,881,–,–
,,,,
 P. DE ASTURIAS,–,–,–,–
,,,,
 CANTABRIA,–,–,144,187
,,,,
Alava,13345,84741,–,–
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,13345,84741,–,–
,,,,
 NAVARRA,85156,400613,–,–
,,,,
 LA RIOJA,17981,89276,–,–
,,,,
Huesca,186384,857272,2689,12820
Teruel,84323,214703,4730,8769
Zaragoza,153339,516391,3133,15779
 ARAGÓN,424046,1588366,10552,37368
,,,,
Barcelona,36445,149562,350,1560
Girona,18741,69754,781,2306
Lleida,101403,375242,6473,23955
Tarragona,14483,69403,–,–
 CATALUÑA,171072,663961,7604,27821
,,,,
 BALEARES,8548,14352,12822,21528
,,,,
Avila,40315,131727,11250,36523
Burgos,139986,612774,4500,19508
León,18266,77336,1400,5491
Palencia,114485,525994,10000,46086
Salamanca,36977,143006,1000,3809
Segovia,56922,192289,18000,60474
Soria,85890,330356,5000,18980
Valladolid,183859,833732,1856,8416
Zamora,47000,203757,9620,41706
 CASTILLA Y LEÓN,723700,3050971,62626,240993
,,,,
 MADRID,38957,84708,553,1474
,,,,
Albacete,110105,353719,33000,87000
Ciudad Real,104695,298089,44878,134631
Cuenca,190438,644428,63480,214812
Guadalajara,77204,235746,9467,30001
Toledo,142006,545794,3964,14072
 CASTILLA–LA MANCHA,624448,2077776,154789,480516
,,,,
Alicante,2325,2674,778,895
Castellón,3319,5416,336,581
Valencia,7245,5102,1812,1276
 C. VALENCIANA,12889,13192,2926,2752
,,,,
 R. DE MURCIA,13121,14317,9105,9389
,,,,
Badajoz,53943,105757,–,–
Cáceres,769,1264,–,–
 EXTREMADURA,54712,107021,–,–
,,,,
Almería,–,–,9905,3604
Cádiz,7187,14840,569,1707
Córdoba,2180,3308,8724,14052
Granada,12922,29264,34039,21999
Huelva,300,1350,830,2739
Jaén,2799,4647,4378,7349
Málaga,12052,20762,1794,3077
Sevilla,15327,33440,450,1577
 ANDALUCÍA,52767,107611,60689,56104
,,,,
Las Palmas,121,190,–,–
S.C. de Tenerife,50,51,–,–
 CANARIAS,171,241,–,–
,,,,
ESPAÑA,2241385,8298027,321810,878132
