SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"13.1.2.4. CEREALES GRANO-TRIGO: Análisis provincial de superficie y producción según dureza del grano, 2015",,,,
,,,,
Provincias,Trigo duro,,Trigo blando y semiduro,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,1711,5306
Lugo,–,–,3826,10139
Ourense,–,–,9248,30111
Pontevedra,–,–,420,1252
 GALICIA,–,–,15205,46808
,,,,
 P. DE ASTURIAS,–,–,45,54
,,,,
 CANTABRIA,–,–,679,1663
,,,,
Alava,–,–,23368,121514
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,–,–,23368,121514
,,,,
 NAVARRA,561,1852,72964,312426
,,,,
 LA RIOJA,30,136,29701,118874
,,,,
Huesca,3579,9124,60226,195473
Teruel,1244,1379,40550,74714
Zaragoza,97698,183078,62106,187696
 ARAGÓN,102521,193581,162882,457883
,,,,
Barcelona,24,64,23943,64057
Girona,–,–,12541,44778
Lleida,156,788,51826,155433
Tarragona,–,–,6170,16843
 CATALUÑA,180,852,94480,281111
,,,,
 BALEARES,–,–,4613,7491
,,,,
Avila,–,–,39214,104345
Burgos,396,1269,213815,823133
León,51,244,57556,243667
Palencia,183,778,126999,451063
Salamanca,62,181,72890,197201
Segovia,62,167,73237,185884
Soria,161,343,103394,290404
Valladolid,180,759,100912,326118
Zamora,56,81,76114,211137
 CASTILLA Y LEÓN,1151,3822,864131,2832952
,,,,
 MADRID,87,248,26391,70554
,,,,
Albacete,411,1947,72623,199921
Ciudad Real,335,548,56618,92611
Cuenca,394,1173,38995,116054
Guadalajara,293,391,66810,123743
Toledo,1955,2320,63073,78901
 CASTILLA–LA MANCHA,3388,6379,298119,611230
,,,,
Alicante,44,175,1601,4070
Castellón,34,72,846,1845
Valencia,122,154,1995,2504
 C. VALENCIANA,200,401,4442,8419
,,,,
 R. DE MURCIA,694,737,7018,8529
,,,,
Badajoz,6398,12941,72462,153320
Cáceres,13,24,4896,8004
 EXTREMADURA,6411,12965,77358,161324
,,,,
Almería,225,90,2261,2845
Cádiz,49623,159750,17077,62553
Córdoba,53033,135384,31281,72657
Granada,2304,3588,10521,11836
Huelva,10708,41048,5310,19531
Jaén,6431,18154,2906,7790
Málaga,15315,43570,6563,9564
Sevilla,95068,302399,70813,209779
 ANDALUCÍA,232707,703983,146732,396555
,,,,
Las Palmas,–,–,109,163
S.C. de Tenerife,–,–,186,186
 CANARIAS,–,–,295,349
,,,,
ESPAÑA,347930,924956,1828423,5437736
