Provincia,Trigo duro - Superficie - (hectáreas),Trigo duro - Producción - (toneladas),Trigo blando y semiduro - Superficie - (hectáreas),Trigo blando y semiduro - Producción - (toneladas)
A Coruña,0,0,2949,8552
Lugo,0,0,4799,12477
Ourense,0,0,9339,29506
Pontevedra,0,0,610,1586
GALICIA,0,0,17697,52121
P. DE ASTURIAS,0,0,95,190
CANTABRIA,0,0,371,742
Alava,0,0,25628,123014
Guipúzcoa,0,0,0,0
Vizcaya,0,0,1,3
PAIS VASCO,0,0,25629,123017
NAVARRA,12468,13039,49388,202079
LA RIOJA,184,552,32175,99679
Huesca,1312,1615,20359,51750
Teruel,1879,2172,38181,63701
Zaragoza,216418,223388,21673,38022
ARAGON,219609,227175,80213,153473
Barcelona,0,0,21545,66672
Girona,0,0,13889,36344
Lleida,158,362,35165,98577
Tarragona,0,0,5678,12678
CATALUÑA,158,362,76277,214271
BALEARES,1032,1231,4493,5360
Avila,0,0,21349,38429
Burgos,10553,16252,148488,435009
León,0,0,42316,63052
Palencia,91,248,76450,189725
Salamanca,339,610,56046,124766
Segovia,0,0,44341,54934
Soria,126,235,71940,137173
Valladolid,50,65,34909,71417
Zamora,1566,2192,74587,140822
CASTILLA Y LEON,12725,19602,570426,1255327
MADRID,127,301,24643,58472
Albacete,0,0,48266,96452
Ciudad Real,0,0,58578,92480
Cuenca,0,0,52893,125526
Guadalajara,0,0,65057,124792
Toledo,45733,64178,41296,77833
CASTILLA–LA MANCHA,45733,64178,266090,517083
Alicante,200,200,3136,7826
Castellón,0,0,829,1796
Valencia,58,58,1964,2284
C. VALENCIANA,258,258,5929,11906
R. DE MURCIA,380,392,8402,10320
Badajoz,78700,238357,53600,189100
Cáceres,150,450,7040,21630
EXTREMADURA,78850,238807,60640,210730
Almería,4615,3946,1195,1163
Cádiz,89960,240650,8040,21508
Córdoba,130959,379485,19569,56705
Granada,21660,27245,4585,11212
Huelva,18064,43571,6169,16210
Jaén,21100,58617,1853,5400
Málaga,35084,75059,2177,4983
Sevilla,192142,505028,25663,76071
ANDALUCIA,513584,1333601,69251,193252
Las Palmas,0,0,0,0
S.C. de Tenerife,0,0,178,178
CANARIAS,0,0,178,178
ESPAÑA,885108,1899498,1291897,3108200
