SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"13.1.2.4. CEREALES GRANO-TRIGO: Análisis provincial de superficie y producción según dureza del grano, 2008",,,,
,,,,
Provincias,Trigo duro,,Trigo blando y semiduro,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,3117,13341
Lugo,–,–,3434,16518
Ourense,–,–,10186,47670
Pontevedra,–,–,888,3516
 GALICIA,–,–,17625,81045
,,,,
 P. DE ASTURIAS,50,110,–,–
,,,,
 CANTABRIA,–,–,935,2392
,,,,
Álava,–,–,26580,122268
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,–,–,26580,122268
,,,,
 NAVARRA,7730,6046,69659,291453
,,,,
 LA RIOJA,91,227,32778,140847
,,,,
Huesca,699,1378,34786,139880
Teruel,624,494,29918,71940
Zaragoza,169991,195840,40313,123073
 ARAGÓN,171314,197712,105017,334893
,,,,
Barcelona,–,–,19640,63912
Girona,–,–,18181,48027
Lleida,100,150,44924,68376
Tarragona,–,–,6408,18654
 CATALUÑA,100,150,89153,198969
,,,,
 BALEARES,–,–,4241,16554
,,,,
Ávila,–,–,27187,105413
Burgos,2391,8603,203829,954766
León,–,–,48933,221153
Palencia,–,–,109245,445238
Salamanca,42,147,66791,279402
Segovia,–,–,58236,234538
Soria,–,–,88337,300876
Valladolid,–,–,40984,183218
Zamora,441,1118,57649,239245
 CASTILLA Y LEÓN,2874,9868,701191,2963849
,,,,
 MADRID,3,10,14402,50333
,,,,
Albacete,–,–,52493,155440
Ciudad Real,–,–,38820,97461
Cuenca,–,–,18998,54098
Guadalajara,–,–,48072,168415
Toledo,11381,17639,37134,82808
 CASTILLA – LA MANCHA,11381,17639,195517,558222
,,,,
Alicante,100,215,2299,4795
Castellón,25,75,690,1910
Valencia,–,–,1567,3540
 C. VALENCIANA,125,290,4556,10245
,,,,
 R. DE MURCIA,223,826,4568,10975
,,,,
Badajoz,21463,67503,80135,273051
Cáceres,158,395,9905,25015
 EXTREMADURA,21621,67898,90040,298066
,,,,
Almería,739,547,1525,1393
Cádiz,66589,182634,18933,61935
Córdoba,84702,242363,28999,94467
Granada,6819,8005,5877,10997
Huelva,9517,26500,9898,35577
Jaén,13490,36152,3372,9037
Málaga,27853,88747,1778,6680
Sevilla,106440,299120,99418,346272
 ANDALUCÍA,316149,884068,169800,566358
,,,,
Las Palmas,–,–,4,4
S.C. de Tenerife,–,–,143,144
 CANARIAS,–,–,147,148
,,,,
ESPAÑA,531661,1184844,1526209,5646617
