CEREALES GRANO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Volver al Indice,,,,
"6.9.  TRIGO: Análisis provincial de superficie y producción según dureza del grano, 2006",,,,
,,,,
Provincias,Trigo duro,,Trigo blando y semiduro,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,3367,14545
Lugo,–,–,4742,18826
Ourense,–,–,11082,41336
Pontevedra,–,–,439,1756
 GALICIA,–,–,19630,76463
,,,,
 P. DE ASTURIAS,10,25,–,–
,,,,
 CANTABRIA,–,–,507,1591
,,,,
Alava,–,–,23825,122699
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,–,–,23825,122699
,,,,
 NAVARRA,8898,10924,55174,275672
,,,,
 LA RIOJA,19,57,32467,137868
,,,,
Huesca,739,1011,24637,97784
Teruel,1862,2316,27705,38185
Zaragoza,177215,297818,36800,60999
 ARAGÓN,179816,301145,89142,196968
,,,,
Barcelona,–,–,16455,42172
Girona,–,–,13473,32387
Lleida,100,240,40582,113426
Tarragona,–,–,5324,11638
 CATALUÑA,100,240,75834,199623
,,,,
 BALEARES,–,–,5113,9088
,,,,
Avila,–,–,19525,20539
Burgos,5420,10814,168063,618800
León,–,–,33975,117513
Palencia,–,–,85243,232490
Salamanca,645,1229,47106,110698
Segovia,–,–,43411,90140
Soria,–,–,97464,160985
Valladolid,100,140,26435,61076
Zamora,488,772,45390,121556
 CASTILLA Y LEÓN,6653,12955,566612,1533797
,,,,
 MADRID,–,–,14482,43900
,,,,
Albacete,–,–,48816,135245
Ciudad Real,–,–,42653,80404
Cuenca,–,–,20297,60503
Guadalajara,–,–,54971,163465
Toledo,22964,36890,30719,57251
 CASTILLA–LA MANCHA,22964,36890,197456,496868
,,,,
Alicante,55,53,2078,4810
Castellón,–,–,641,1996
Valencia,61,71,1016,1435
 C. VALENCIANA,116,124,3735,8241
,,,,
 R. DE MURCIA,440,662,7371,8801
,,,,
Badajoz,40300,97989,62500,178125
Cáceres,100,240,7250,21391
 EXTREMADURA,40400,98229,69750,199516
,,,,
Almería,2271,2524,799,1190
Cádiz,59692,182634,18105,60849
Córdoba,95310,326971,24792,85051
Granada,11653,37600,5493,7600
Huelva,13517,40500,4823,19400
Jaén,14358,43126,2839,8017
Málaga,29279,93455,1695,7034
Sevilla,128525,455153,86443,378008
 ANDALUCÍA,354605,1181963,144989,567149
,,,,
Las Palmas,–,–,3,2
S.C. de Tenerife,–,–,122,122
 CANARIAS,–,–,125,124
,,,,
ESPAÑA,614021,1643214,1306212,3878368
