SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"13.1.2.4. CEREALES GRANO-TRIGO: Análisis provincial de superficie y producción según dureza del grano, 2009",,,,
,,,,
Provincias,Trigo duro,,Trigo blando y semiduro,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,3315,11039
Lugo,–,–,3606,9412
Ourense,–,–,8782,27136
Pontevedra,–,–,704,2563
 GALICIA,–,–,16407,50150
,,,,
 P. DE ASTURIAS,45,50,–,–
,,,,
 CANTABRIA,–,–,346,844
,,,,
Álava,–,–,15352,73690
 PAÍS VASCO,–,–,15352,73690
,,,,
 NAVARRA,7470,11469,57434,239109
,,,,
 LA RIOJA,82,246,21880,76733
,,,,
Huesca,2475,7738,23944,88317
Teruel,913,2066,27945,54150
Zaragoza,167598,275682,32821,112473
 ARAGÓN,170986,285486,84710,254940
,,,,
Barcelona,–,–,17819,74690
Girona,–,–,15819,55861
Lleida,91,237,40214,151475
Tarragona,–,–,6833,20974
 CATALUÑA,91,237,80685,303000
,,,,
 BALEARES,–,–,3774,14333
,,,,
Ávila,–,–,20102,24015
Burgos,2716,6183,139351,503677
León,–,–,42763,143757
Palencia,–,–,79718,218926
Salamanca,100,180,51602,105656
Segovia,–,–,45817,91009
Soria,–,–,63746,121707
Valladolid,58,92,38623,73589
Zamora,322,233,54795,69155
 CASTILLA Y LEÓN,3196,6688,536517,1351491
,,,,
 MADRID,–,–,16530,41646
,,,,
Albacete,73,127,56920,155017
Ciudad Real,124,188,43405,66076
Cuenca,43,86,20885,57681
Guadalajara,4716,9461,41361,101356
Toledo,10139,13815,45223,84111
 CASTILLA – LA MANCHA,15095,23677,207794,464241
,,,,
Alicante,80,226,1455,3169
Castellón,48,132,531,1373
Valencia,–,–,1547,2737
 C. VALENCIANA,128,358,3533,7279
,,,,
 R. DE MURCIA,236,973,5268,12925
,,,,
Badajoz,20852,32118,64292,126270
Cáceres,168,160,8339,9947
 EXTREMADURA,21020,32278,72631,136217
,,,,
Almería,669,705,1562,2233
Cádiz,64422,181681,10603,32359
Córdoba,84600,267296,20183,62700
Granada,5920,7322,6549,10800
Huelva ,11413,43368,4412,15435
Jaén,12236,31955,2048,4691
Málaga,25097,80971,1602,6095
Sevilla,118875,426739,61189,242200
 ANDALUCÍA,323232,1040037,108148,376513
,,,,
Las Palmas,–,–,4,4
S.C. de Tenerife,–,–,158,158
 CANARIAS,–,–,162,162
,,,,
ESPAÑA,541581,1401499,1231171,3403273
