SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"13.1.2.4. CEREALES GRANO-TRIGO: Análisis provincial de superficie y producción según dureza del grano, 2014",,,,
,,,,
Provincias,Trigo duro,,Trigo blando y semiduro,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,1731,5368
Lugo,–,–,3681,9755
Ourense,–,–,8235,26813
Pontevedra,–,–,308,921
 GALICIA,–,–,13955,42857
,,,,
 P. DE ASTURIAS,–,–,50,60
,,,,
 CANTABRIA,–,–,178,436
,,,,
Alava,–,–,24705,123525
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,–,–,24705,123525
,,,,
 NAVARRA,633,1452,71600,339648
,,,,
 LA RIOJA,55,160,32719,147585
,,,,
Huesca,1748,6112,49753,198248
Teruel,945,841,41222,69765
Zaragoza,85132,151381,57890,162256
 ARAGÓN,87825,158334,148865,430269
,,,,
Barcelona,24,86,23838,86057
Girona,–,–,14610,58609
Lleida,147,553,48826,183864
Tarragona,–,–,6284,16945
 CATALUÑA,171,639,93558,345475
,,,,
 BALEARES,25,45,4972,8990
,,,,
Avila,6,9,38863,72300
Burgos,351,1062,233256,976179
León,50,264,62721,222465
Palencia,93,321,125783,420151
Salamanca,54,126,76668,184316
Segovia,166,398,71345,159648
Soria,58,150,106225,299576
Valladolid,730,2244,93969,268454
Zamora,97,176,74642,176497
 CASTILLA Y LEÓN,1605,4750,883472,2779586
,,,,
 MADRID,32,63,28520,56290
,,,,
Albacete,373,264,68307,163329
Ciudad Real,295,391,54708,69643
Cuenca,226,565,34428,103211
Guadalajara,59,885,70372,144521
Toledo,1625,2244,64535,101088
 CASTILLA–LA MANCHA,2578,4349,292350,581792
,,,,
Alicante,21,59,1183,2028
Castellón,8,4,587,323
Valencia,48,22,1553,924
 C. VALENCIANA,77,85,3323,3275
,,,,
 R. DE MURCIA,2015,2738,5211,7080
,,,,
Badajoz,5270,9175,78797,164686
Cáceres,4,7,5760,8444
 EXTREMADURA,5274,9182,84557,173130
,,,,
Almería,228,35,1787,767
Cádiz,42392,137771,22026,77092
Córdoba,47337,165630,38857,135516
Granada,1884,2598,11895,12117
Huelva,9362,28086,6184,20407
Jaén,3960,11411,5751,7948
Málaga,15657,33595,6710,7374
Sevilla,76020,264510,93002,345735
 ANDALUCÍA,196840,643636,186212,606956
,,,,
Las Palmas,–,–,103,155
S.C. de Tenerife,–,–,192,192
 CANARIAS,–,–,295,347
,,,,
ESPAÑA,297130,825433,1874542,5647301
